stock_name,sector,final_score,combo,n_buyers,change_pct
네패스아크,기타,154.81,외+연+투+사,4,29.87
씨에스베어링,기타,138.09,외+투+사+기,4,9.39
네패스,기타,114.85,외+연+투+사,4,17.07
디케이티,기타,88.99,외+투+사,3,11.85
한미글로벌,기타,88.64,연+투+사,3,17.49
에이팩트,기타,81.41,외+연+사,3,8.94
티움바이오,기타,72.98,투+사+기,3,17.78
메가스터디교육,기타,72.90,연+투+사,3,3.81
상신이디피,기타,69.40,연+투+사,3,0.00
에프앤가이드,기타,69.40,연+투+사,3,0.00
노머스,기타,69.40,연+투+사,3,0.00
다산네트웍스,기타,66.18,외+기,2,15.38
티엠씨,기타,64.64,연+투+사,3,20.53
제노코,기타,61.88,외+기,2,1.72
금양그린파워,기타,61.80,외+연+기,3,0.00
유니테스트,기타,59.61,외+투,2,7.53
LS증권,기타,58.80,외+사,2,0.00
엠케이전자,기타,58.03,외+투+기,3,2.03
동부건설,기타,57.10,외+사,2,12.00
그리드위즈,기타,56.50,외+사+기,3,0.00
오르비텍,기타,56.14,외+기,2,24.77
OCI,기타,55.99,연+투+사,3,2.30
하이록코리아,기타,54.40,연+투+사,3,0.00
한양이엔지,기타,54.10,투+사,2,0.00
한신공영,기타,46.77,사+기,2,29.99
엘티씨,기타,46.60,투+기,2,-0.29
싸이맥스,기타,45.84,연+사,2,-1.25
한섬,기타,44.40,연+투,2,0.00
다우데이타,기타,44.40,연+투,2,0.00
유비쿼스,기타,44.40,연+투,2,0.00
서부T&D,기타,42.41,연+투+기,3,0.00
가온칩스,기타,41.80,투+기,2,0.00
엔알비,기타,41.80,투+기,2,0.00
엠플러스,기타,40.30,연+사,2,0.00
진성티이씨,기타,40.30,연+사,2,0.00
세아제강지주,기타,28.05,외+사,2,13.69
디아이,기타,18.71,연+투,2,0.78
엔비알모션,기타,11.80,투+기,2,0.00
자람테크놀로지,기타,11.59,외+기,2,-2.22
시지메드텍,기타,7.70,사+기,2,0.00
세미파이브,기타,5.13,투+기,2,-1.12
코스텍시스,기타,2.25,투+기,2,0.42