stock_code,stock_name,stock_index,total_events,overall_success_rate,overall_avg_mdd,overall_avg_return,dominant_combo,dominant_count,best_combo,best_combo_rate,best_combo_count,worst_combo,worst_combo_rate,combo_details
280360,롯데웰푸드,KOSPI200,4,100.0,-2.88,8.6,A1(외+연),2,A1(외+연),100.0,2,A1(외+연),100.0,A1(외+연):100%/2건 | A2(외+사):100%/1건 | B2(연+사):100%/1건
030200,KT,KOSPI200,35,85.7,-3.68,3.39,B2(연+사),32,B2(연+사),87.5,32,B1(외+투신),50.0,A2(외+사):100%/1건 | B1(외+투신):50%/2건 | B2(연+사):88%/32건
271560,오리온,KOSPI200,68,79.4,-3.5,6.21,A1(외+연),33,B1(외+투신),100.0,5,A2(외+사),50.0,S(외+연+사):82%/17건 | A1(외+연):76%/33건 | A2(외+사):50%/2건 | B1(외+투신):100%/5건 | B2(연+사):82%/11건
033780,KT&G,KOSPI200,98,78.6,-4.14,3.21,S(외+연+사),50,B1(외+투신),100.0,3,A2(외+사),62.5,S(외+연+사):78%/50건 | A1(외+연):79%/34건 | A2(외+사):62%/8건 | B1(외+투신):100%/3건 | B2(연+사):100%/3건
024110,기업은행,KOSPI200,49,77.6,-4.71,4.38,A1(외+연),31,S(외+연+사),100.0,2,A2(외+사),71.4,S(외+연+사):100%/2건 | A1(외+연):74%/31건 | A2(외+사):71%/7건 | B1(외+투신):89%/9건
316140,우리금융지주,KOSPI200,90,75.6,-5.35,6.12,A1(외+연),32,A2(외+사),100.0,8,A1(외+연),65.6,S(외+연+사):71%/31건 | A1(외+연):66%/32건 | A2(외+사):100%/8건 | B1(외+투신):100%/10건 | B2(연+사):78%/9건
035250,강원랜드,KOSPI200,31,74.2,-3.74,2.32,A1(외+연),24,S(외+연+사),100.0,2,A2(외+사),50.0,S(외+연+사):100%/2건 | A1(외+연):71%/24건 | A2(외+사):50%/2건 | B1(외+투신):100%/3건
055550,신한지주,KOSPI200,99,71.7,-4.84,5.72,S(외+연+사),45,A2(외+사),81.8,11,B1(외+투신),40.0,S(외+연+사):71%/45건 | A1(외+연):76%/34건 | A2(외+사):82%/11건 | B1(외+투신):40%/5건 | B2(연+사):50%/4건
086790,하나금융지주,KOSPI200,100,69.0,-5.38,5.05,S(외+연+사),56,A2(외+사),87.5,8,B2(연+사),33.3,S(외+연+사):70%/56건 | A1(외+연):68%/28건 | A2(외+사):88%/8건 | B1(외+투신):60%/5건 | B2(연+사):33%/3건
005940,NH투자증권,KOSPI200,72,68.1,-5.02,11.31,A1(외+연),47,B1(외+투신),100.0,5,S(외+연+사),30.8,S(외+연+사):31%/13건 | A1(외+연):72%/47건 | A2(외+사):67%/3건 | B1(외+투신):100%/5건 | B2(연+사):100%/4건
185750,종근당,KOSPI200,3,66.7,-6.67,-1.98,A1(외+연),2,A1(외+연),50.0,2,A1(외+연),50.0,A1(외+연):50%/2건 | A2(외+사):100%/1건
017670,SK텔레콤,KOSPI200,88,65.9,-4.18,8.37,A1(외+연),42,B1(외+투신),100.0,2,B2(연+사),0.0,S(외+연+사):49%/35건 | A1(외+연):79%/42건 | A2(외+사):86%/7건 | B1(외+투신):100%/2건 | B2(연+사):0%/2건
282330,BGF리테일,KOSPI200,23,65.2,-6.33,5.0,A1(외+연),19,A1(외+연),68.4,19,B1(외+투신),66.7,S(외+연+사):0%/1건 | A1(외+연):68%/19건 | B1(외+투신):67%/3건
000120,CJ대한통운,KOSPI200,37,62.2,-6.9,4.98,A1(외+연),17,B2(연+사),66.7,9,S(외+연+사),55.6,S(외+연+사):56%/9건 | A1(외+연):65%/17건 | A2(외+사):100%/1건 | B1(외+투신):0%/1건 | B2(연+사):67%/9건
030000,제일기획,KOSPI200,39,61.5,-5.11,-0.06,A1(외+연),27,S(외+연+사),100.0,2,B2(연+사),0.0,S(외+연+사):100%/2건 | A1(외+연):67%/27건 | A2(외+사):100%/1건 | B1(외+투신):50%/6건 | B2(연+사):0%/3건
105560,KB금융,KOSPI200,103,61.2,-5.7,5.81,S(외+연+사),64,A1(외+연),84.0,25,S(외+연+사),50.0,S(외+연+사):50%/64건 | A1(외+연):84%/25건 | A2(외+사):60%/5건 | B1(외+투신):67%/3건 | B2(연+사):83%/6건
005930,삼성전자,KOSPI200,103,61.2,-4.35,15.01,S(외+연+사),100,A2(외+사),100.0,2,S(외+연+사),60.0,S(외+연+사):60%/100건 | A1(외+연):100%/1건 | A2(외+사):100%/2건
138930,BNK금융지주,KOSPI200,67,61.2,-5.41,7.4,A1(외+연),23,B2(연+사),83.3,6,B1(외+투신),33.3,S(외+연+사):65%/20건 | A1(외+연):57%/23건 | A2(외+사):78%/9건 | B1(외+투신):33%/9건 | B2(연+사):83%/6건
010950,S-Oil,KOSPI200,90,61.1,-5.47,9.4,S(외+연+사),40,B1(외+투신),100.0,5,S(외+연+사),47.5,S(외+연+사):48%/40건 | A1(외+연):66%/32건 | A2(외+사):80%/5건 | B1(외+투신):100%/5건 | B2(연+사):75%/8건
000270,기아,KOSPI200,102,60.8,-5.03,8.22,S(외+연+사),61,A1(외+연),75.8,33,A2(외+사),0.0,S(외+연+사):56%/61건 | A1(외+연):76%/33건 | A2(외+사):0%/3건 | B1(외+투신):67%/3건 | B2(연+사):50%/2건
005380,현대차,KOSPI200,103,60.2,-5.15,17.74,S(외+연+사),85,A2(외+사),100.0,2,S(외+연+사),57.6,S(외+연+사):58%/85건 | A1(외+연):67%/12건 | A2(외+사):100%/2건 | B1(외+투신):100%/1건 | B2(연+사):67%/3건
068270,셀트리온,KOSPI200,103,60.2,-6.08,3.24,S(외+연+사),66,A2(외+사),80.0,5,B1(외+투신),50.0,S(외+연+사):55%/66건 | A1(외+연):71%/28건 | A2(외+사):80%/5건 | B1(외+투신):50%/2건 | B2(연+사):50%/2건
097950,CJ제일제당,KOSPI200,50,58.0,-6.37,-1.36,A1(외+연),41,S(외+연+사),80.0,5,B1(외+투신),0.0,S(외+연+사):80%/5건 | A1(외+연):61%/41건 | A2(외+사):0%/1건 | B1(외+투신):0%/2건 | B2(연+사):0%/1건
006360,GS건설,KOSPI200,40,57.5,-6.24,8.07,A1(외+연),29,B1(외+투신),75.0,4,S(외+연+사),40.0,S(외+연+사):40%/5건 | A1(외+연):59%/29건 | A2(외+사):100%/1건 | B1(외+투신):75%/4건 | B2(연+사):0%/1건
090430,아모레퍼시픽,KOSPI200,89,57.3,-6.87,3.71,A1(외+연),46,A1(외+연),71.7,46,S(외+연+사),38.5,S(외+연+사):38%/26건 | A1(외+연):72%/46건 | A2(외+사):40%/5건 | B1(외+투신):50%/4건 | B2(연+사):50%/8건
047040,대우건설,KOSPI200,39,56.4,-5.5,79.19,S(외+연+사),15,A1(외+연),71.4,7,B2(연+사),33.3,S(외+연+사):67%/15건 | A1(외+연):71%/7건 | A2(외+사):44%/9건 | B1(외+투신):50%/2건 | B2(연+사):33%/6건
161390,한국타이어앤테크놀로지,KOSPI200,75,56.0,-7.47,7.71,A1(외+연),31,B1(외+투신),81.8,11,B2(연+사),20.0,S(외+연+사):55%/20건 | A1(외+연):55%/31건 | A2(외+사):50%/8건 | B1(외+투신):82%/11건 | B2(연+사):20%/5건
000810,삼성화재,KOSPI200,86,55.8,-6.72,0.91,A1(외+연),54,A1(외+연),63.0,54,B2(연+사),20.0,S(외+연+사):41%/17건 | A1(외+연):63%/54건 | A2(외+사):60%/5건 | B1(외+투신):60%/5건 | B2(연+사):20%/5건
000720,현대건설,KOSPI200,101,55.4,-5.73,21.11,S(외+연+사),68,A1(외+연),80.0,15,B2(연+사),22.2,S(외+연+사):53%/68건 | A1(외+연):80%/15건 | A2(외+사):67%/6건 | B1(외+투신):67%/3건 | B2(연+사):22%/9건
003490,대한항공,KOSPI200,88,54.5,-5.6,2.31,A1(외+연),40,B2(연+사),100.0,3,S(외+연+사),38.9,S(외+연+사):39%/36건 | A1(외+연):57%/40건 | A2(외+사):88%/8건 | B1(외+투신):100%/1건 | B2(연+사):100%/3건
032830,삼성생명,KOSPI200,86,53.5,-5.61,7.6,A1(외+연),48,B1(외+투신),100.0,2,S(외+연+사),32.0,S(외+연+사):32%/25건 | A1(외+연):67%/48건 | A2(외+사):40%/5건 | B1(외+투신):100%/2건 | B2(연+사):33%/6건
028670,팬오션,KOSPI200,32,53.1,-6.77,3.12,A1(외+연),19,A1(외+연),68.4,19,S(외+연+사),0.0,S(외+연+사):0%/7건 | A1(외+연):68%/19건 | A2(외+사):50%/2건 | B1(외+투신):100%/1건 | B2(연+사):67%/3건
028260,삼성물산,KOSPI200,100,53.0,-6.96,6.75,S(외+연+사),56,A2(외+사),75.0,4,S(외+연+사),42.9,S(외+연+사):43%/56건 | A1(외+연):67%/33건 | A2(외+사):75%/4건 | B1(외+투신):50%/2건 | B2(연+사):60%/5건
009150,삼성전기,KOSPI200,104,52.9,-5.8,16.32,S(외+연+사),83,A2(외+사),57.1,7,A1(외+연),28.6,S(외+연+사):57%/83건 | A1(외+연):29%/7건 | A2(외+사):57%/7건 | B1(외+투신):0%/1건 | B2(연+사):33%/6건
000660,SK하이닉스,KOSPI200,104,52.9,-6.21,17.42,S(외+연+사),99,S(외+연+사),52.5,99,A2(외+사),50.0,S(외+연+사):53%/99건 | A2(외+사):50%/4건 | B2(연+사):100%/1건
007070,GS리테일,KOSPI200,19,52.6,-8.42,3.98,B2(연+사),6,S(외+연+사),75.0,4,A1(외+연),25.0,S(외+연+사):75%/4건 | A1(외+연):25%/4건 | A2(외+사):75%/4건 | B1(외+투신):0%/1건 | B2(연+사):50%/6건
139480,이마트,KOSPI200,62,51.6,-8.09,5.02,A1(외+연),42,B1(외+투신),100.0,4,B2(연+사),0.0,S(외+연+사):36%/11건 | A1(외+연):57%/42건 | A2(외+사):0%/1건 | B1(외+투신):100%/4건 | B2(연+사):0%/4건
139130,iM금융지주,KOSPI200,33,51.5,-7.23,2.68,S(외+연+사),9,A1(외+연),75.0,8,S(외+연+사),33.3,S(외+연+사):33%/9건 | A1(외+연):75%/8건 | A2(외+사):60%/5건 | B1(외+투신):50%/6건 | B2(연+사):40%/5건
003550,LG,KOSPI200,63,50.8,-5.29,2.94,A1(외+연),40,B1(외+투신),75.0,4,S(외+연+사),31.2,S(외+연+사):31%/16건 | A1(외+연):57%/40건 | A2(외+사):0%/1건 | B1(외+투신):75%/4건 | B2(연+사):50%/2건
207940,삼성바이오로직스,KOSPI200,85,50.6,-6.84,1.12,S(외+연+사),53,A2(외+사),66.7,3,A1(외+연),40.9,S(외+연+사):55%/53건 | A1(외+연):41%/22건 | A2(외+사):67%/3건 | B1(외+투신):0%/1건 | B2(연+사):50%/6건
352820,하이브,KOSPI200,101,50.5,-8.23,3.04,S(외+연+사),67,B2(연+사),66.7,3,A2(외+사),40.0,S(외+연+사):51%/67건 | A1(외+연):53%/19건 | A2(외+사):40%/10건 | B1(외+투신):50%/2건 | B2(연+사):67%/3건
032640,LG유플러스,KOSPI200,38,50.0,-5.5,1.82,A1(외+연),32,A1(외+연),53.1,32,B1(외+투신),0.0,S(외+연+사):50%/2건 | A1(외+연):53%/32건 | A2(외+사):0%/1건 | B1(외+투신):0%/2건 | B2(연+사):100%/1건
034730,SK,KOSPI200,98,50.0,-6.05,8.84,S(외+연+사),50,B1(외+투신),100.0,2,A2(외+사),28.6,S(외+연+사):42%/50건 | A1(외+연):62%/37건 | A2(외+사):29%/7건 | B1(외+투신):100%/2건 | B2(연+사):50%/2건
012750,에스원,KOSPI200,6,50.0,-4.69,8.34,A1(외+연),4,A1(외+연),50.0,4,A1(외+연),50.0,A1(외+연):50%/4건 | B1(외+투신):50%/2건
029780,삼성카드,KOSPI200,12,50.0,-5.75,-1.1,A2(외+사),5,A2(외+사),80.0,5,B2(연+사),0.0,A1(외+연):50%/2건 | A2(외+사):80%/5건 | B1(외+투신):100%/1건 | B2(연+사):0%/4건
023530,롯데쇼핑,KOSPI200,34,50.0,-7.98,10.83,S(외+연+사),10,A1(외+연),80.0,10,A2(외+사),0.0,S(외+연+사):20%/10건 | A1(외+연):80%/10건 | A2(외+사):0%/2건 | B1(외+투신):50%/4건 | B2(연+사):62%/8건
051900,LG생활건강,KOSPI200,67,49.3,-7.71,-3.38,A1(외+연),36,B2(연+사),75.0,4,A1(외+연),41.7,S(외+연+사):50%/12건 | A1(외+연):42%/36건 | A2(외+사):62%/13건 | B1(외+투신):50%/2건 | B2(연+사):75%/4건
195940,HK이노엔,KOSDAQ150,39,48.7,-8.45,2.72,A1(외+연),11,S(외+연+사),75.0,8,B1(외+투신),30.0,S(외+연+사):75%/8건 | A1(외+연):55%/11건 | A2(외+사):40%/10건 | B1(외+투신):30%/10건
011200,HMM,KOSPI200,74,48.6,-5.93,0.43,A1(외+연),54,A2(외+사),66.7,3,S(외+연+사),42.9,S(외+연+사):43%/14건 | A1(외+연):48%/54건 | A2(외+사):67%/3건 | B1(외+투신):67%/3건
010120,LS ELECTRIC,KOSPI200,99,48.5,-6.02,19.99,S(외+연+사),74,B2(연+사),100.0,2,A2(외+사),44.4,S(외+연+사):46%/74건 | A1(외+연):58%/12건 | A2(외+사):44%/9건 | B1(외+투신):50%/2건 | B2(연+사):100%/2건
001450,현대해상,KOSPI200,54,48.1,-8.02,3.16,A1(외+연),27,B1(외+투신),85.7,7,S(외+연+사),9.1,S(외+연+사):9%/11건 | A1(외+연):52%/27건 | A2(외+사):50%/8건 | B1(외+투신):86%/7건 | B2(연+사):100%/1건
272210,한화시스템,KOSPI200,98,48.0,-8.52,22.42,S(외+연+사),62,A1(외+연),73.9,23,A2(외+사),16.7,S(외+연+사):44%/62건 | A1(외+연):74%/23건 | A2(외+사):17%/6건 | B1(외+투신):0%/1건 | B2(연+사):33%/6건
002380,KCC,KOSPI200,59,47.5,-7.45,4.22,S(외+연+사),18,B1(외+투신),75.0,4,A2(외+사),35.7,S(외+연+사):44%/18건 | A1(외+연):43%/14건 | A2(외+사):36%/14건 | B1(외+투신):75%/4건 | B2(연+사):67%/9건
058470,리노공업,KOSDAQ150,91,47.3,-5.59,14.58,S(외+연+사),37,B2(연+사),66.7,3,S(외+연+사),37.8,S(외+연+사):38%/37건 | A1(외+연):57%/23건 | A2(외+사):38%/13건 | B1(외+투신):60%/15건 | B2(연+사):67%/3건
069960,현대백화점,KOSPI200,41,46.3,-8.32,-0.21,A1(외+연),17,B2(연+사),53.8,13,S(외+연+사),33.3,S(외+연+사):33%/9건 | A1(외+연):47%/17건 | A2(외+사):50%/2건 | B2(연+사):54%/13건
039490,키움증권,KOSPI200,95,46.3,-7.92,11.2,S(외+연+사),51,B2(연+사),62.5,8,A2(외+사),28.6,S(외+연+사):43%/51건 | A1(외+연):52%/25건 | A2(외+사):29%/7건 | B1(외+투신):50%/4건 | B2(연+사):62%/8건
086280,현대글로비스,KOSPI200,93,46.2,-7.59,7.71,S(외+연+사),48,A2(외+사),66.7,6,S(외+연+사),29.2,S(외+연+사):29%/48건 | A1(외+연):65%/34건 | A2(외+사):67%/6건 | B1(외+투신):67%/3건 | B2(연+사):50%/2건
067160,SOOP,KOSDAQ150,13,46.2,-5.7,-2.83,A2(외+사),7,B1(외+투신),100.0,3,A2(외+사),28.6,A1(외+연):33%/3건 | A2(외+사):29%/7건 | B1(외+투신):100%/3건
004370,농심,KOSPI200,39,46.2,-6.11,-2.26,A1(외+연),21,B2(연+사),100.0,2,S(외+연+사),33.3,S(외+연+사):33%/6건 | A1(외+연):33%/21건 | A2(외+사):33%/3건 | B1(외+투신):86%/7건 | B2(연+사):100%/2건
005850,에스엘,KOSPI200,35,45.7,-6.17,11.63,A1(외+연),17,A1(외+연),52.9,17,B2(연+사),0.0,S(외+연+사):40%/10건 | A1(외+연):53%/17건 | A2(외+사):50%/4건 | B1(외+투신):50%/2건 | B2(연+사):0%/2건
277810,레인보우로보틱스,KOSDAQ150,95,45.3,-9.44,14.93,S(외+연+사),43,B1(외+투신),60.0,10,A2(외+사),41.4,S(외+연+사):44%/43건 | A1(외+연):45%/11건 | A2(외+사):41%/29건 | B1(외+투신):60%/10건 | B2(연+사):50%/2건
069620,대웅제약,KOSPI200,29,44.8,-6.25,6.01,A1(외+연),10,S(외+연+사),50.0,6,B1(외+투신),25.0,S(외+연+사):50%/6건 | A1(외+연):50%/10건 | A2(외+사):43%/7건 | B1(외+투신):25%/4건 | B2(연+사):50%/2건
012330,현대모비스,KOSPI200,99,44.4,-7.2,6.2,S(외+연+사),60,A2(외+사),50.0,4,B2(연+사),25.0,S(외+연+사):47%/60건 | A1(외+연):41%/27건 | A2(외+사):50%/4건 | B1(외+투신):50%/4건 | B2(연+사):25%/4건
073240,금호타이어,KOSPI200,9,44.4,-6.01,9.38,A1(외+연),6,A1(외+연),66.7,6,A1(외+연),66.7,S(외+연+사):0%/1건 | A1(외+연):67%/6건 | B1(외+투신):0%/1건 | B2(연+사):0%/1건
017800,현대엘리베이터,KOSPI200,79,44.3,-8.71,2.0,A1(외+연),36,A2(외+사),66.7,6,B2(연+사),33.3,S(외+연+사):34%/29건 | A1(외+연):47%/36건 | A2(외+사):67%/6건 | B1(외+투신):60%/5건 | B2(연+사):33%/3건
005490,POSCO홀딩스,KOSPI200,100,44.0,-6.5,3.48,S(외+연+사),60,B2(연+사),50.0,2,B1(외+투신),0.0,S(외+연+사):43%/60건 | A1(외+연):48%/33건 | A2(외+사):33%/3건 | B1(외+투신):0%/2건 | B2(연+사):50%/2건
047810,한국항공우주,KOSPI200,96,43.8,-6.38,13.3,S(외+연+사),59,A2(외+사),50.0,10,B1(외+투신),33.3,S(외+연+사):42%/59건 | A1(외+연):43%/23건 | A2(외+사):50%/10건 | B1(외+투신):33%/3건 | B2(연+사):100%/1건
042700,한미반도체,KOSPI200,100,43.0,-7.75,21.41,S(외+연+사),50,B2(연+사),66.7,3,S(외+연+사),38.0,S(외+연+사):38%/50건 | A1(외+연):45%/29건 | A2(외+사):54%/13건 | B1(외+투신):40%/5건 | B2(연+사):67%/3건
004000,롯데정밀화학,KOSPI200,7,42.9,-4.91,1.36,A1(외+연),7,A1(외+연),42.9,7,A1(외+연),42.9,A1(외+연):43%/7건
050890,쏠리드,KOSDAQ150,7,42.9,-9.53,9.85,S(외+연+사),3,S(외+연+사),66.7,3,A1(외+연),0.0,S(외+연+사):67%/3건 | A1(외+연):0%/3건 | A2(외+사):100%/1건
009970,영원무역홀딩스,KOSPI200,7,42.9,-5.43,11.21,A1(외+연),4,B2(연+사),100.0,2,A1(외+연),25.0,S(외+연+사):0%/1건 | A1(외+연):25%/4건 | B2(연+사):100%/2건
365340,성일하이텍,KOSDAQ150,7,42.9,-8.29,10.17,A1(외+연),7,A1(외+연),42.9,7,A1(외+연),42.9,A1(외+연):43%/7건
004170,신세계,KOSPI200,75,42.7,-6.57,12.62,S(외+연+사),28,B1(외+투신),66.7,3,A1(외+연),30.8,S(외+연+사):36%/28건 | A1(외+연):31%/13건 | A2(외+사):41%/17건 | B1(외+투신):67%/3건 | B2(연+사):64%/14건
018260,삼성에스디에스,KOSPI200,89,42.7,-6.62,-1.46,A1(외+연),44,A2(외+사),80.0,5,A1(외+연),34.1,S(외+연+사):47%/32건 | A1(외+연):34%/44건 | A2(외+사):80%/5건 | B1(외+투신):50%/4건 | B2(연+사):50%/4건
015760,한국전력,KOSPI200,103,42.7,-9.65,3.76,S(외+연+사),81,B2(연+사),80.0,5,A2(외+사),28.6,S(외+연+사):43%/81건 | A1(외+연):33%/9건 | A2(외+사):29%/7건 | B1(외+투신):0%/1건 | B2(연+사):80%/5건
