종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비,평균가대비,대비율(%),기간거래량
'069500,KODEX 200,"-13,485","-116,945","86,719","86,750",▼,"-2,620","31","+0.03%","17,892,883"
'140410,메지온,"-9,686","-82,009","84,672","91,500",▲,"11,100","6,828","+8.06%","3,317,551"
'102110,TIGER 200,"-4,659","-40,624","87,187","86,685",▼,"-2,705","-502","-0.57%","6,083,725"
'396500,TIGER 반도체TOP10,"-5,679","-19,463","34,273","34,555",▼,"-615","282","+0.82%","19,992,094"
'047040,대우건설,"-11,117","-17,941","16,138","16,170",▲,"1,300","32","+0.19%","77,126,668"
'263750,펄어비스,"-3,680","-17,258","46,894","46,000",↓,"-19,600","-894","-1.90%","4,316,098"
'0048K0,KODEX 차이나휴머노이드로봇,"-10,892","-11,121","10,210","10,180",▼,"-210","-30","-0.29%","2,778,744"
'0089D0,KODEX 금융고배당TOP10,"-8,419","-11,089","13,171","13,210",▼,"-100","39","+0.29%","1,130,034"
'0131V0,1Q 미국우주항공테크,"-8,616","-10,821","12,559","12,555",▼,"-455","-4","-0.03%","2,153,124"
'440110,파두,"-1,832","-10,593","57,837","57,000",▼,"-5,500","-837","-1.44%","1,888,079"
'017670,SK텔레콤,"-1,250","-9,837","78,673","78,200",▼,"-3,000","-473","-0.60%","959,929"
'367380,ACE 미국나스닥100,"-3,141","-8,752","27,859","27,885",▼,"-325","26","+0.09%","1,001,566"
'456160,지투지바이오,"-984","-8,606","87,457","86,900",▼,"-4,700","-557","-0.63%","599,266"
'411060,ACE KRX금현물,"-2,462","-7,951","32,293","32,210",▼,"-680","-83","-0.25%","2,496,481"
'089030,테크윙,"-1,169","-6,866","58,742","58,500",▼,"-3,500","-242","-0.41%","1,988,169"
'0127P0,ACE 미국대형성장주액티브,"-7,096","-6,820","9,611","9,645",▼,"-90","34","+0.35%","731,983"
'373220,LG에너지솔루션,"-183","-6,806","372,172","371,000",▼,"-12,500","-1,172","-0.31%","213,253"
'133690,TIGER 미국나스닥100,"-368","-5,964","162,078","162,155",▼,"-1,900","77","+0.04%","921,857"
'277810,레인보우로보틱스,"-80","-5,746","717,754","718,000",▼,"-22,000","246","+0.03%","103,793"
'310210,보로노이,"-178","-5,692","320,598","320,000",▼,"-19,000","-598","-0.18%","95,544"
'005490,POSCO홀딩스,"-163","-5,502","338,067","338,000",▼,"-11,500","-67","-0.01%","339,117"
'189300,인텔리안테크,"-445","-5,489","123,470","123,400",▼,"-4,000","-70","-0.05%","160,936"
'352820,하이브,"-154","-5,448","353,643","354,500",▼,"-13,000","857","+0.24%","282,806"
'069660,KIWOOM 200,"-600","-5,219","86,975","86,610",▼,"-2,550","-365","-0.41%","904,992"
'397030,에이프릴바이오,"-825","-5,161","62,549","62,500",▼,"-3,700","-49","-0.07%","307,927"
'247540,에코프로비엠,"-266","-5,073","190,599","189,700",▼,"-6,800","-899","-0.47%","439,588"
'043260,성호전자,"-1,255","-5,070","40,413","40,000",▼,"-2,500","-413","-1.02%","990,220"
'005380,현대차,"-96","-5,035","524,883","522,000",▼,"-23,000","-2,883","-0.54%","762,635"
'036930,주성엔지니어링,"-759","-4,667","61,484","61,000",▼,"-1,900","-484","-0.78%","663,995"
'115180,큐리언트,"-1,022","-4,525","44,285","45,050",▼,"-1,550","765","+1.72%","447,737"
'364980,TIGER 2차전지TOP10,"-4,000","-4,024","10,060","10,065",▼,"-270","5","+0.04%","1,537,219"
'035420,NAVER,"-179","-3,938","220,559","220,500",▼,"-6,000","-59","-0.02%","474,188"
'051910,LG화학,"-122","-3,727","305,548","303,500",▼,"-16,500","-2,048","-0.67%","207,291"
'329180,HD현대중공업,"-63","-3,573","569,759","567,000",▼,"-23,000","-2,759","-0.48%","173,145"
'015760,한국전력,"-732","-3,538","48,362","48,300",▼,"-1,650","-62","-0.12%","1,725,030"
'035720,카카오,"-696","-3,485","50,070","50,000",▼,"-1,500","-70","-0.13%","1,164,390"
'278470,에이피알,"-93","-3,415","368,121","369,000",▲,"7,000","879","+0.23%","294,185"
'232080,TIGER 코스닥150,"-1,663","-3,363","20,221","20,215",▼,"-435","-6","-0.02%","2,932,787"
'389470,인벤티지랩,"-422","-3,347","79,332","78,800",▼,"-5,100","-532","-0.67%","172,284"
'171090,선익시스템,"-301","-3,152","104,574","103,500",▼,"-2,900","-1,074","-1.02%","252,473"
'402340,SK스퀘어,"-51","-3,080","603,053","611,000",▼,"-19,000","7,947","+1.31%","399,104"
'000270,기아,"-178","-3,042","171,029","170,500",▼,"-4,600","-529","-0.30%","890,052"
'096770,SK이노베이션,"-266","-2,947","110,889","110,300",▼,"-4,000","-589","-0.53%","319,609"
'475150,SK이터닉스,"-513","-2,825","55,045","53,700",▲,"11,100","-1,345","-2.44%","14,628,900"
'148020,RISE 200,"-285","-2,504","87,852","87,410",▼,"-2,615","-442","-0.50%","1,440,348"
'010130,고려아연,"-15","-2,485","1,617,525","1,612,000",▼,"-83,000","-5,525","-0.34%","34,466"
'058610,에스피지,"-197","-2,435","123,937","123,200",▼,"-4,300","-737","-0.59%","207,029"
'293180,HANARO 200,"-279","-2,434","87,392","87,025",▼,"-2,695","-367","-0.41%","72,820"
'017960,한국카본,"-488","-2,349","48,099","48,350",▼,"-400","251","+0.52%","393,855"
'316140,우리금융지주,"-669","-2,228","33,308","33,600",▲,"100","292","+0.87%","1,834,770"
'012450,한화에어로스페이스,"-16","-2,222","1,369,795","1,375,000",▼,"-15,000","5,205","+0.38%","111,115"
'086790,하나금융지주,"-195","-2,199","112,649","113,200",▼,"-1,300","551","+0.48%","900,967"
'039440,에스티아이,"-654","-2,157","32,985","33,150",▼,"-1,150","165","+0.50%","198,875"
'012510,더존비즈온,"-180","-2,143","119,148","119,100", ,"0","-48","-0.04%","224,966"
'039030,이오테크닉스,"-51","-2,134","417,378","412,500",▲,"2,000","-4,878","-1.16%","117,261"
'0043B0,TIGER 머니마켓액티브,"-201","-2,045","101,950","101,950",▲,"20","0","0%","102,465"
'494180,TIME 글로벌소비트렌드액티브,"-1,387","-1,893","13,651","13,755",▼,"-45","104","+0.76%","146,492"
'272210,한화시스템,"-128","-1,806","141,063","141,000",▲,"1,200","-63","-0.04%","1,776,465"
'086280,현대글로비스,"-75","-1,736","231,066","230,500",▼,"-6,000","-566","-0.24%","164,331"
'007390,네이처셀,"-965","-1,724","17,864","17,720",▼,"-720","-144","-0.80%","586,784"
'251270,넷마블,"-327","-1,670","51,049","51,000",▼,"-2,700","-49","-0.09%","307,565"
'357780,솔브레인,"-38","-1,607","423,110","422,000",▼,"-18,000","-1,110","-0.26%","50,170"
'087010,펩트론,"-50","-1,598","319,646","317,500",▼,"-10,500","-2,146","-0.67%","185,941"
'047050,포스코인터내셔널,"-222","-1,597","71,904","71,800",▲,"200","-104","-0.14%","881,980"
'458870,씨어스테크놀로지,"-85","-1,586","186,859","189,000",▲,"3,900","2,141","+1.14%","78,851"
'071050,한국금융지주,"-68","-1,573","229,749","229,000",▼,"-12,000","-749","-0.32%","218,487"
'0127M0,ACE 미국대형가치주액티브,"-1,406","-1,544","10,980","11,050",▲,"5","70","+0.63%","149,935"
'240810,원익IPS,"-126","-1,534","121,502","120,900",▼,"-3,600","-602","-0.49%","440,750"
'018880,한온시스템,"-3,718","-1,525","4,101","4,110",▼,"-290","9","+0.21%","13,519,785"
'064760,티씨케이,"-64","-1,487","233,959","242,500",▲,"6,500","8,541","+3.65%","76,212"
'000990,DB하이텍,"-166","-1,462","87,985","87,900", ,"0","-85","-0.09%","333,706"
'101490,에스앤에스텍,"-169","-1,445","85,686","85,900",▼,"-2,900","214","+0.24%","205,316"
'287840,인투셀,"-296","-1,409","47,526","47,600",▼,"-1,800","74","+0.15%","98,524"
'005300,롯데칠성,"-120","-1,409","116,995","117,100",▼,"-4,200","105","+0.08%","42,927"
'485810,TIME 글로벌바이오액티브,"-1,379","-1,403","10,170","10,165",▼,"-195","-5","-0.04%","148,665"
'166090,하나머티리얼즈,"-233","-1,384","59,473","59,100",▼,"-2,100","-373","-0.62%","119,626"
'105190,ACE 200,"-148","-1,356","91,583","87,170",▼,"-2,720","-4,413","-4.81%","640,773"
'105560,KB금융,"-86","-1,336","156,204","155,700",▲,"1,000","-504","-0.32%","947,774"
'006800,미래에셋증권,"-195","-1,318","67,418","66,700",▼,"-3,200","-718","-1.06%","2,521,922"
'017800,현대엘리베이터,"-150","-1,309","87,492","87,400",▼,"-1,100","-92","-0.10%","180,685"
'067310,하나마이크론,"-388","-1,305","33,652","33,500",▼,"-550","-152","-0.45%","1,609,435"
'018260,삼성에스디에스,"-80","-1,298","161,557","161,500",▼,"-5,600","-57","-0.03%","161,856"
'003670,포스코퓨처엠,"-64","-1,275","198,971","198,000",▼,"-2,500","-971","-0.48%","298,252"
'001450,현대해상,"-398","-1,210","30,410","30,300",▼,"-1,300","-110","-0.36%","361,923"
'033500,동성화인텍,"-460","-1,203","26,150","26,250",▼,"-800","100","+0.38%","321,355"
'278620,PLUS 단기채권액티브,"-100","-1,178","117,813","117,810",▼,"-20","-3","0%","10,334"
'010170,대한광통신,"-1,597","-1,160","7,262","7,390",▲,"360","128","+1.76%","24,561,865"
'180640,한진칼,"-88","-1,126","127,411","128,000",▲,"5,900","589","+0.46%","285,687"
'214430,아이쓰리시스템,"-114","-1,106","96,909","96,400",▼,"-5,300","-509","-0.52%","63,765"
'214370,케어젠,"-99","-1,089","110,068","110,000",▼,"-3,800","-68","-0.06%","76,158"
'009470,삼화전기,"-272","-1,071","39,390","39,300",▼,"-1,800","-90","-0.22%","106,203"
'033780,KT&G,"-67","-1,042","156,636","157,000",▼,"-1,700","364","+0.23%","214,761"
'016360,삼성증권,"-103","-1,026","99,161","98,600",▼,"-2,900","-561","-0.56%","413,300"
'031980,피에스케이홀딩스,"-95","-1,025","107,594","106,800",▼,"-1,400","-794","-0.73%","129,949"
'015750,성우하이텍,"-1,111","-1,022","9,201","9,200",▼,"-410","-1","-0.01%","1,392,472"
'432320,KB스타리츠,"-4,001","-1,013","2,532","2,555",▼,"-25","23","+0.90%","628,071"
'001040,CJ,"-53","-1,008","191,255","197,000",▼,"-3,000","5,745","+3.00%","162,506"
'393890,더블유씨피,"-641","-972","15,164","15,100",▲,"290","-64","-0.42%","4,512,418"
'114100,RISE 국고채3년,"-90","-965","107,293","107,270",▼,"-270","-23","-0.02%","11,786"
'214450,파마리서치,"-30","-945","317,641","320,500",▼,"-500","2,859","+0.90%","48,831"
